a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20220623.1-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
act 0.2.31-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
aha 0.5.1-2
akonadi 22.12.0-1
akonadi-calendar 22.12.0-1
akonadi-calendar-tools 22.12.0-1
akonadi-contacts 22.12.0-1
akonadi-import-wizard 22.12.0-1
akonadi-mime 22.12.0-1
akonadi-notes 22.12.0-1
akonadi-search 22.12.0-1
akonadiconsole 22.12.0-1
akregator 22.12.0-1
alacritty 0.11.0-2
alsa-card-profiles 1:0.3.61-1
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
analitza 22.12.0-1
aom 3.5.0-1
apparmor 3.1.2-1
appmenu-gtk-module 0.7.6-1
appstream 0.15.5-1
appstream-glib 0.8.2-1
appstream-qt 0.15.5-1
arandr 0.1.10-7
archlinux-appstream-data 20221210-1
archlinux-keyring 20221123-1
argon2 20190702-4
ark 22.12.0-1
artikulate 22.12.0-1
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attica 5.100.0-1
attr 2.5.1-2
audiocd-kio 22.12.0-1
audiofile 0.3.6-7
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.09.03-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
avogadro-crystals 1.0.1-1
avogadro-molecules 1.0.0-1
avogadrolibs 1.97.0-1
avogadrolibs-qt5 1.97.0-1
awesome 4.3-3
ayatana-ido 0.9.2-1
baloo 5.100.0-1
baloo-widgets 22.12.0-1
base 3-1
bash 5.1.016-1
bc 1.07.1-4
binutils 2.39-4
bison 3.8.2-4
black-hole-solver 1.12.0-1
blinken 22.12.0-1
bluedevil 1:5.26.4-1
blueman 2.3.5-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-qt 5.100.0-1
bluez-utils 5.66-1
bolt 0.9.4-1
bomber 22.12.0-1
boost-libs 1.80.0-3
bovo 22.12.0-1
brave-bin 1:1.46.140-1
breeze 5.26.4-1
breeze-gtk 5.26.4-1
breeze-icons 5.100.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-9
btrfs-progs 6.0.2-1
bubblewrap 0.7.0-1
bzip2 1.0.8-5
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.85-1
ca-certificates-utils 20220905-1
cabextract 1.9.1-2
cairo 1.17.6-2
cairomm 1.14.4-1
calendarsupport 22.12.0-1
cantarell-fonts 1:0.303.1-1
cantor 22.12.0-1
catch2-git 3.2.0.r5.g2d7be1f7-1
cdparanoia 10.2-8
celt 0.11.3-4
ceph-libs 15.2.17-1
cervisia 22.12.0-1
cfitsio 1:4.2.0-1
champ-r 1.1.14-1
chromaprint 1.5.1-5
chrome-remote-desktop 106.0.5249.37-1
chrono-date 3.0.1-3
cifs-utils 7.0-1
cinnamon-desktop 5.6.0-1
clang 14.0.6-4
clion 1:2022.2.3-1
clion-cmake 1:2022.2.3-1
clion-gdb 1:2022.2.3-1
clion-jre 1:2022.2.3-1
clion-lldb 1:2022.2.3-1
cmake 3.25.1-1
compiler-rt 14.0.6-1
confuse 3.3-3
containerd 1.6.12-1
convertlit 1.8-11
coordgen 3.0.1-1
coreutils 9.1-3
cracklib 2.9.8-1
cronie 1.6.1-1
cryptsetup 2.6.0-1
cups 1:2.4.2-3
cups-filters 1.28.16-2
curl 7.86.0-4
cython 0.29.32-2
dav1d 1.0.0-1
db 5.3.28-5
dbeaver 22.3.0-1
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-2
default-cursors 1-1
desktop-file-utils 0.26-2
device-mapper 2.03.17-1
